name,rss_url,category,type
Agrárszektor,https://www.agrarszektor.hu/rss,Agrárgazdaság,portál
Agro Napló,https://www.agronaplo.hu/rss,Általános agrár,portál
Magyar Mezőgazdaság,https://magyarmezogazdasag.hu/feed/,Általános agrár,portál
Mezőhír,https://mezohir.hu/feed/,Általános agrár,portál
Agrofórum,https://agroforum.hu/feed/,Általános agrár,portál
AKI,https://www.aki.gov.hu/feed/,Agrárgazdaság,hivatalos
ÖMKi,https://biokutatas.hu/feed/,Ökológiai gazdálkodás,szakmai
FruitVeB,https://fruitveb.hu/feed/,Kertészet,szakmai
Agrárközösség,https://agrarkozosseg.hu/feed/,Általános agrár,portál
Agroinform,https://www.agroinform.hu/rss,Általános agrár,portál
GÉPmax,https://gepmax.hu/feed/,Gépesítés,szakmai
KAP portál,https://kap.gov.hu/rss.xml,Támogatások és pályázatok,hivatalos
MATE,https://uni-mate.hu/mate_rss/-/asset_publisher/06QSw2gupx0G/rss,Agrárkutatás,szakmai
Sokszínű Vidék,https://sokszinuvidek.24.hu/feed,Vidéki élet,portál
